process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects
velocity_1,velocity_2,velocity_3,high_velocity,rapid_rise_time,biscuit_thickness,clamping_force,cycle_time,pressure_rise_time,casting_pressure,spray_time,spray_1_time,spray_2_time,melting_furnace_temp,air_pressure,coolant_temp,coolant_pressure,factory_temp,factory_humidity,short_shot_1,bubble_1,exfoliation_1,stain_1,dent_1,deformation_1,short_shot_2,bubble_2,exfoliation_2,deformation_2
0.146,0.166,0.184,2.111,0.01,12,257,20.7,0.033,1051,7.9,0.7,0.8,673.4,6.6,26.3,2.68,34.1,54.5,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.182,2.123,0.007,12,257,20.7,0.044,1054,7.9,0.7,0.8,674.6,6.6,26.3,2.68,34.1,54.5,1,0,0,0,0,0,0,0,0,0
0.144,0.166,0.174,2.159,0.007,12,257,20.8,0.041,1039,7.9,0.7,0.8,674.6,6.6,26.3,2.68,34.1,54.5,0,0,0,0,0,0,0,0,0,0
0.144,0.166,0.174,2.159,0.007,12,257,20.8,0.041,1039,7.9,0.7,0.8,674.6,6.6,26.3,2.68,34.1,54.5,1,0,0,0,0,0,0,0,0,0
0.144,0.168,0.182,2.131,0.007,11,259,20.8,0.044,1052,7.9,0.7,0.8,676.0,6.6,26.3,2.7,34.1,54.7,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.178,2.166,0.01,11,259,20.8,0.041,1039,7.9,0.7,0.8,676.0,6.6,26.3,2.7,34.1,54.7,1,0,0,0,0,0,0,0,0,0
0.142,0.168,0.178,2.166,0.01,11,259,20.8,0.041,1039,7.9,0.7,0.8,676.0,6.6,26.3,2.7,34.1,54.7,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.188,2.147,0.007,11,259,20.8,0.043,1053,7.9,0.7,0.8,677.5,6.6,26.2,2.69,34.1,54.8,1,0,0,0,0,0,0,0,0,0
0.14,0.166,0.182,2.117,0.008,11,259,20.9,0.042,1038,7.9,0.7,0.8,677.5,6.6,26.2,2.69,34.1,54.8,0,0,0,0,0,0,0,0,0,0
0.14,0.166,0.178,2.164,0.009,12,254,20.8,0.034,1053,7.9,0.7,0.8,677.5,6.6,26.2,2.69,34.1,54.8,0,0,0,0,0,0,0,0,0,0
0.142,0.166,0.182,2.158,0.008,11,254,20.7,0.033,1053,7.9,0.7,0.8,678.8,6.6,26.3,2.69,34.1,54.9,0,0,0,0,0,0,0,0,0,0
0.142,0.166,0.182,2.158,0.008,11,254,20.7,0.033,1053,7.9,0.7,0.8,678.8,6.6,26.3,2.69,34.1,54.9,0,0,1,0,0,0,0,0,0,0
0.144,0.166,0.186,2.158,0.008,11,254,20.8,0.042,1038,7.9,0.7,0.8,678.8,6.6,26.3,2.69,34.1,54.9,0,0,0,0,0,0,0,0,0,0
0.142,0.17,0.182,2.139,0.008,11,254,20.5,0.044,1037,7.9,0.7,0.8,680.3,6.6,26.3,2.71,34.2,54.7,1,0,0,0,0,0,0,0,0,0
0.142,0.17,0.182,2.139,0.008,11,254,20.5,0.044,1037,7.9,0.7,0.8,680.3,6.6,26.3,2.71,34.2,54.7,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.18,2.134,0.008,11,255,20.7,0.043,1053,7.9,0.7,0.8,680.3,6.6,26.3,2.71,34.2,54.7,0,0,0,0,0,0,0,0,0,0
0.142,0.17,0.182,2.119,0.009,11,257,20.7,0.042,1037,7.9,0.7,0.8,682.2,6.6,26.3,2.68,34.2,54.7,0,0,1,0,0,0,0,0,0,0
0.144,0.168,0.182,2.153,0.007,11,255,20.5,0.041,1054,7.9,0.7,0.8,682.2,6.6,26.3,2.68,34.2,54.7,0,0,0,0,0,1,0,0,0,0
0.144,0.168,0.182,2.153,0.007,11,255,20.5,0.041,1054,7.9,0.7,0.8,682.2,6.6,26.3,2.68,34.2,54.7,0,0,0,0,0,0,0,0,0,0
0.146,0.17,0.184,2.137,0.008,11,257,20.6,0.044,1052,7.9,0.7,0.8,683.7,6.6,26.3,2.7,34.2,54.8,0,0,0,0,0,0,0,0,0,0
0.146,0.17,0.184,2.137,0.008,11,257,20.6,0.044,1052,7.9,0.7,0.8,683.7,6.6,26.3,2.7,34.2,54.8,1,0,0,0,0,0,0,0,0,0
0.142,0.17,0.187,2.148,0.008,11,257,20.7,0.044,1052,7.9,0.7,0.8,685.4,6.7,26.3,2.69,34.2,54.8,0,0,0,0,0,0,0,0,0,0
0.146,0.17,0.178,2.145,0.008,11,258,20.6,0.044,1037,7.9,0.7,0.8,685.4,6.7,26.3,2.69,34.2,54.8,1,0,0,0,0,0,0,0,0,0
0.144,0.17,0.176,2.12,0.01,10,258,20.7,0.041,1052,7.9,0.7,0.8,685.4,6.7,26.3,2.69,34.2,54.8,0,0,0,0,0,0,0,0,0,0
