process_velocity_1,process_velocity_2,process_velocity_3,process_high_velocity,process_cylinder_pressure,process_rapid_rise_time,process_biscuit_thickness,process_clamping_force,process_cycle_time,process_pressure_rise_time,process_casting_pressure,process_spray_time,process_spray_1_time,process_spray_2_time,sensor_melting_furnace_temp,sensor_air_pressure,sensor_air_pressure_min,sensor_air_pressure_max,sensor_coolant_temp,sensor_coolant_temp_min,sensor_coolant_temp_max,sensor_coolant_pressure,sensor_factory_temp,sensor_factory_temp_min,sensor_factory_temp_max,sensor_factory_humidity,sensor_factory_humidity_min,sensor_factory_humidity_max
0.144,0.168,0.176,2.103,214,0.008,11,259,20.8,0.041,1036,7.8,0.8,0.8,685.5,6.0,3,9,26.1,10,50,2.72,31.0,18.0,22.0,65.8,18.0,22.0
0.141,0.168,0.182,2.15,214,0.008,12,254,20.5,0.042,1038,7.9,0.8,0.8,706.9,6.2,3,9,26.5,10,50,2.75,32.2,18.0,22.0,61.2,18.0,22.0
0.141,0.166,0.18,2.096,239,0.008,14,261,22.7,0.037,1158,9.7,1.2,0.7,730.0,5.1,3,9,27.1,10,50,2.64,31.6,18.0,22.0,69.2,18.0,22.0
0.144,0.168,0.179,2.143,215,0.008,11,255,20.8,0.044,1040,8.1,1.0,0.8,721.9,6.2,3,9,26.0,10,50,2.74,30.9,18.0,22.0,65.8,18.0,22.0
0.142,0.168,0.176,2.165,218,0.009,11,261,20.6,0.042,1053,7.9,0.7,0.8,695.0,6.6,3,9,26.3,10,50,2.71,34.6,18.0,22.0,53.6,18.0,22.0
0.142,0.17,0.182,2.111,218,0.01,12,255,20.7,0.043,1053,7.9,0.8,0.8,707.9,6.4,3,9,26.6,10,50,2.76,32.0,18.0,22.0,62.7,18.0,22.0
0.14,0.168,0.186,2.164,216,0.008,14,258,21.1,0.043,1043,8.4,1.0,0.8,696.4,5.2,3,9,27.2,10,50,2.74,32.3,18.0,22.0,64.4,18.0,22.0
0.142,0.168,0.18,2.09,239,0.007,13,250,22.7,0.035,1155,9.8,1.2,0.7,697.9,6.8,3,9,27.3,10,50,2.62,31.8,18.0,22.0,69.2,18.0,22.0
0.142,0.17,0.184,2.151,218,0.008,11,258,20.8,0.044,1054,8.0,1.0,0.8,705.1,6.1,3,9,27.1,10,50,2.69,37.0,18.0,22.0,46.0,18.0,22.0
0.144,0.166,0.186,2.144,216,0.008,13,251,21.2,0.044,1043,8.4,0.8,1.0,692.6,5.1,3,9,27.3,10,50,2.75,32.5,18.0,22.0,64.2,18.0,22.0
0.156,0.187,0.198,2.239,239,0.009,13,253,20.8,0.043,1157,7.8,1.2,0.7,727.6,7.1,3,9,28.0,10,50,2.63,32.0,18.0,22.0,70.0,18.0,22.0
0.144,0.168,0.179,2.127,218,0.007,12,255,20.7,0.044,1055,7.9,0.8,0.8,707.9,6.4,3,9,26.6,10,50,2.76,32.0,18.0,22.0,62.7,18.0,22.0
0.144,0.17,0.186,2.097,215,0.007,11,259,20.8,0.042,1039,8.0,1.0,0.8,727.5,6.0,3,9,26.0,10,50,2.75,30.9,18.0,22.0,65.9,18.0,22.0
0.144,0.168,0.186,2.151,214,0.008,11,255,20.9,0.042,1038,8.0,1.0,0.8,729.0,5.8,3,9,25.9,10,50,2.77,30.6,18.0,22.0,66.5,18.0,22.0
0.144,0.17,0.182,2.104,239,0.008,11,259,22.7,0.035,1157,9.8,1.2,0.7,721.3,5.1,3,9,27.1,10,50,2.62,31.6,18.0,22.0,69.9,18.0,22.0
0.142,0.166,0.19,2.145,214,0.007,12,255,20.6,0.043,1037,7.8,0.7,0.8,716.9,6.3,3,9,26.2,10,50,2.71,33.6,18.0,22.0,56.4,18.0,22.0
0.142,0.168,0.181,2.093,235,0.007,13,257,22.7,0.036,1135,9.8,1.2,0.7,696.4,7.1,3,9,27.3,10,50,2.62,31.9,18.0,22.0,69.1,18.0,22.0
